id,title,description,classification
188,This service gives your personal data to third parties involved in its operation,Your personal data is or may be given to third parties essential to the service’s operation. This could be an external spam detection service for an internet forum.,bad
332,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics","If a service expresses a worldview antithetical to the user’s, that is a good signal that they should not use the service. Or conversely, if the service expresses an uncommonly-held belief that the user agrees with and thinks is relevant to the service-user relationship and/or important, they may wish to use that to choose between otherwise comparable services.",good
411,Your data is processed and stored in a country that is less friendly to user privacy protection,"This case means that user data is not anywhere in the world, but somewhere where it is more likely to be obtained and used by government and/or possible data analysts.",bad
153,This service fines spammers,Sending unsolicited promotional communications through the Service (i.e. spam) is prohibited and spammers must pay a sum of money as a penalty.,good
216,Your personal data is used for advertising,"Your interaction with the service and data you have shared with them may be gathered to create an advertising ID or profile to target ads on you, either on the website you were visiting or in third party websites.",bad
177,Logs are deleted after a finite period of time,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that periodically delete their logs to prevent user sessions being tracked over time.",good
232,A free help desk is provided,The service can be easily contacted for questions or provides a support center at no extra cost.,good
160,No guarantee is given regarding quality,The Service doesn't warrant or guarantee the quality of the products or services provided.,neutral
166,This service shares your personal data with third parties that are not essential to its operation,Your personal data is or may be given to third parties nonessential to the service’s operation. This could be a business partner that receives your data to provide targeted advertisements.,bad
410,Political discussions which are against the government-advocated value are prohibited,"Political content, which is against the government-advocated value, in the form or pictures, discussions, or campaigning isn’t allowed. Since it encourages the promotional content of the value, the service may tolerate trolling or spamming against political rivals or enemies.",blocker
444,The publishing of personally identifiable information without the owner’s consent is not allowed,"Users agree not to publicly post personally identifiable information (name, postal address, contact information…) without the owner’s knowledge or consent",good
211,Extra data may be collected about you through promotions,"Additional personal data may be collected through contests, surveys, promotions, petitions or sweepstakes. ",bad
176,Only necessary logs are kept by the service to ensure quality,"Logs are text files containing some information about web visitors, such as user agents (showing for instance that you're connecting from Firefox for Android) and ip addresses (which reveal your approximate location). This case applies to Services that only keep the strictly necessary logs on their servers and therefore protect your privacy.",good
338,You can limit how your information is used by third-parties and the service,Usually it's related to the right to object to data processing or restrict it under the GDPR. Users may be able to refuse the use of their data for marketing purposes for instance.,good
148,You are responsible for maintaining the security of your account and for the activities on your account,"You are responsible for protecting the confidentiality of your password and for maintaining the security of your account. Any activity occurring under your account is your responsibility, whether authorized by you or not. ",neutral
152,This service is only available to users over a certain age,The Services are intended for users who are at least a certain age. If you are younger than the age required then you are prohibited from using the Service.,neutral
187,Your data may be processed and stored anywhere in the world,"Your data is stored all over the world, including in countries where data protection rules may differ from the ones of the service's jurisdiction or those of your country jurisdiction.",bad
294,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,"Should any portion of the Terms of Service be unenforceable or invalid, that portion will be enforced to the fullest extent permitted by applicable law and the remainder of the TOS will remain valid and enforceable.",neutral
