id,title,description,classification
281,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages","Users are not allowed to use the service for chain letters, junk mail, spamming or any other distribution of content to people who have not agreed to receiving it.",neutral
445,Harming minors in any ways is prohibited,"This service prohibits harming minor in any ways. Since both “minor” and “in any ways” are vague and can be cited to restrict possibly any actions, the case is not classified as “good”.",neutral
157,Your use is throttled,"The service may impose limits or restrictions to the use of the service, thus negatively impacting users experience. They may do so without reason or prior notice.",bad
151,You have a reduced time period to take legal action against the service,"If you wish to bring legal action against a service about a past incident, you may not be able to do so if the Terms you agreed to implied a limited amount of time. As a result it may be worthy to carefully read that section of the Terms to know exactly how much time you might have before your right to take legal action expires.",bad
150,"Spidering, crawling, or accessing the site through any automated means is not allowed",,neutral
478,This service still tracks you even if you opted out from tracking,"Users can’t fully opt out of tracking technologies used for non essential purposes such as advertising, marketing or analytics. The user may be asked for consent for installing some tracking technologies on the device, and even if all are rejected the service will still track its visitors and ignore the choice.This case doesn’t apply to functional cookies that are necessary to provide the services.",blocker
126,First-party cookies are used,First-party cookies only belong to the domain of the service and not a third party.,neutral
480,Your personal data will not be used for an automated decision-making,"The service promises not to use your personal data for automated decision-making, including profiling.",good
174,This service holds onto content that you've deleted,"Content may remain in backup servers and be retained after deletion, and thus never be completely deleted. This case doesn't apply to contributions that can't be removed due to the nature of the service.",blocker
481,The service claims to be GDPR compliant for European users,The service has a different behavior towards users protected by the GDPR.,good
482,The service claims to be CCPA compliant for California users,The service has a different behavior towards users protected by the California Consumer Privacy Act.,good
483,The service claims to be LGPD compliant for Brazilian users,The service has a different behavior towards users protected by the Lei Geral de Proteção de Dados Pessoais.,good
484,You must report to the service any unauthorized use of your account or any breach of security,The service asks the user to notify them immediately of any unauthorized use or security breaches.,neutral
324,Alternative accounts are not allowed,"Services that do not allow multiple or alternative accounts are covered by this case.
Alternative accounts can contribute to an increased privacy, but can also be used to manipulate discussions and polls and might decrease the trustworthiness of a person.",neutral
215, Pseudonyms are allowed,You don't need to provide your full name to use the Service and you are allowed to use a pseudonym instead.,good
479,You aren’t allowed to remove or edit user-generated content,You cannot edit or remove your content from this service.,bad
202,Specific content can be deleted without reason and may be removed without prior notice," This service can delete specific content. Usually they will claim they reserve the right to do it at their sole discretion, which is legalese for saying they won't give a specific reason. If the terms say they will not notify you, it shall be included in the quote but if it does not explicitly say they will give you a notice, it can be reasonably inferred that they can do it without telling you.",blocker
145,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,"You are responsible for your use of the service. If a claim arises related to that use, you agree to indemnify and hold the service harmless.
If users are also required to defend the service, see Case 146 instead.",neutral
485,The service is open-source,The code of the software is open-source and the users can have access to the source code.,good
170,You have the right to leave this service at any time,"You can stop using the service and/or cancel or delete your account at any time for any reason. Moreover, the termination is reasonably fast and simple.",good
